case,seed,duration,positionRmse,velocityRmse,accelerationRmse,targetHeadingRmse,egoPositionRmse,egoVelocityRmse,egoYawRmse,positionStartupPeak,positionPostTransientPeak,bodyVelocityStartupPeak,accelerationStartupPeak,accelerationPostTransientPeak,positionSettleTo015MSeconds,domainValidFraction,speedViolationFraction,scalarAccelerationViolationFraction,curvatureViolationFraction,rangeViolationFraction,boundContainmentFraction,boundMeanM,boundMaximumM,boundMinimumSlackM,stepMedianMs,stepP95Ms,stepMaximumMs,deadlineMisses,curvatureLagS,bandwidthPerS,outagePositionPeakM,postReacquisitionAccelerationPeakMps2,positionRecoveryTo015MSeconds,passTimeS,positionErrorPeakAroundPassM,accelerationErrorPeakAroundPassMps2
retained-noise,110,12,0.03253264905068066,0.13377806935097175,0.20308554349604374,0.006010518715240778,0.013122791673967,0.0115591275906032,0.0008392184267313103,1.118033988749895,0.06954256815263715,3.8935101044958293,5.173125394111458,0.46966576954202666,0.52,1.0,0.0,0.0,0.0,0.0,1.0,1.7027311718024136,1.78026650583329,1.3748375009931642,2.143,2.57505,5.3020000000000005,0,,2.5910462926477833,,,,,,
varying-noise,101,12,0.03006960832886699,0.134493877970442,0.3123206603521735,0.005450359177682677,0.01375738544296265,0.01036010764812927,0.0008776523293829562,1.118033988749895,0.07985463429508609,3.7444274610960697,5.1202745018235385,1.1837645479677965,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.7549722829926147,2.02623739356439,1.3937347773049953,2.1679999999999997,2.5601499999999997,10.137,0,0.6199999999999999,2.5919551157794425,,,,,,
varying-noise,102,12,0.028896561970667197,0.13141520233141027,0.3058845898355707,0.006197363665232942,0.012150446646847448,0.012078625232574238,0.0008736742265787556,1.118033988749895,0.06900567491160225,3.8280923929631574,5.081261972707835,1.2064625114740133,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.7553592061057373,2.00235768248073,1.3997267040606771,2.144,2.5631,5.976999999999999,0,0.6799999999999999,2.5919551157794425,,,,,,
varying-noise,103,12,0.027478977816612606,0.12547579402602033,0.30313957347803433,0.0053998923355347275,0.011777801609057705,0.01227080478704359,0.0008648672257152814,1.118033988749895,0.05948676965344932,3.7799112965567656,5.046662264579205,1.2014242705291207,0.48,1.0,0.0,0.0,0.0,0.0,1.0,1.752997786429038,1.99746340519564,1.376650284695623,2.11,2.420899999999999,5.425,0,0.6399999999999999,2.5919551157794425,,,,,,
varying-noise,104,12,0.027591665204134593,0.12595272960745177,0.3041079341015566,0.004932844372142537,0.011335092327697796,0.012087850126988646,0.0008687732354766779,1.118033988749895,0.0628954012057904,3.7457370492541213,5.074308189137122,1.154556630906499,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.7557709151900507,2.00012993491295,1.3522783762247148,2.125,2.43815,5.8069999999999995,0,0.5800000000000001,2.5919551157794425,,,,,,
varying-noise,105,12,0.030900345855735225,0.1356985758053504,0.3133575795319887,0.005460713783809528,0.012195089348201342,0.010896492237024828,0.0008408809745272779,1.118033988749895,0.07846478773560782,3.686605728590108,4.988706958513135,1.1621533946941436,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.7548585359667381,2.00588597654289,1.3699194703045223,2.193,2.6361999999999997,6.037,0,0.5800000000000001,2.5919551157794425,,,,,,
varying-noise,106,12,0.03250981928014822,0.1422522493457751,0.3172644160198738,0.005786048522594933,0.013299686244723942,0.012242358896615476,0.0008893392726998269,1.118033988749895,0.07065479232612147,3.848686472740061,5.13438835810071,1.1092589454734167,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.7554749864872228,2.00339598550131,1.4028048078346793,2.1755,2.5645999999999995,5.641,0,0.5800000000000001,2.5919551157794425,,,,,,
varying-noise,107,12,0.030798720077447928,0.1362516805757871,0.3104230313331679,0.005684268935381007,0.01048087874160703,0.011089791582270424,0.0008342616012067889,1.118033988749895,0.06746147205489696,3.6873034902840414,5.018337881356552,1.1370170808162783,0.54,1.0,0.0,0.0,0.0,0.0,1.0,1.756003528795975,2.02024070248615,1.3946590308176745,2.1670000000000003,2.5528999999999993,5.779,0,0.6399999999999999,2.5919551157794425,,,,,,
varying-noise,108,12,0.03168716651272518,0.1372832334317398,0.31228131709268203,0.006132271640939539,0.013007559095838023,0.011679506725952167,0.0008751649879125923,1.118033988749895,0.06446673393443865,3.891652592918373,5.164041578591372,1.1662483927128853,0.52,1.0,0.0,0.0,0.0,0.0,1.0,1.7558041616497404,2.01793175601423,1.3892182731421152,2.161,2.35905,5.182,0,0.5999999999999999,2.5919551157794425,,,,,,
varying-noise,109,12,0.030173582430136986,0.13388453483902335,0.3196301008488421,0.0054783416735422474,0.010676819455147488,0.010986527766992769,0.0008456032813150268,1.118033988749895,0.06823879881498159,3.6765819912819198,4.957198516995093,1.245211123482918,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.756317520179894,1.98159489061875,1.3667458729061375,2.121,2.4053999999999993,5.335,0,0.5999999999999999,2.5919551157794425,,,,,,
