scenario,planTime,stage,time,axle,anchorBeta,candidateBeta,betaSlope,anchorSteering,candidateSteering,anchorForce,betaForceChange,affineForce,nonlinearForce,capacity,slip
sCurve,1.35,11,1.85,1,0.0122477517978313,0.0188774462254269,-0.256525206287691,0.0262569015874385,0.0347508812190546,625.265659700429,-0.00170068373066332,1627.46762612707,1566.79274754022,6504.11407817834,-0.0126901070494702
sCurve,1.35,11,1.85,2,0.0122477517978313,0.0188774462254269,-0.0953028008411103,0.0262569015874385,0.0347508812190546,382.945712583276,-0.000631828447670563,346.051640302101,343.070559034514,6454.00522066678,-0.00220590604989202
sCurve,1.35,12,1.9,1,0.0101443144288894,0.0286243493503225,-0.27270102147536,0.0282690696251728,0.0461235322487972,706.27925163161,-0.00503952439997514,2133.22477192507,1966.38646222902,6502.60767952828,-0.0163484668312751
sCurve,1.35,12,1.9,2,0.0101443144288894,0.0286243493503225,-0.0889318318270863,0.0282690696251728,0.0461235322487972,406.14613196216,-0.00164346335779157,467.608895015193,472.162043543942,6452.5104275812,-0.00305733208059554
sCurve,1.35,13,1.95,1,0.00601269893875784,0.0997734186328761,-0.289911350212794,0.0318322090422084,0.0634162290100802,937.736423770171,-0.0271822968434451,3055.29628190278,2694.78004621558,6472.81316340613,-0.0236338084043608
sCurve,1.35,13,1.95,2,0.00601269893875784,0.0997734186328761,-0.06086077645183,0.0318322090422084,0.0634162290100802,435.966378112853,-0.00570635020126643,632.062074908191,644.574650574141,6422.94545373722,-0.00421449372175878
sCurve,1.35,14,2,1,0.00542270796178806,0.640339860632409,-0.948421567198997,0.0415040475919743,0.0897951098302344,1729.88735618888,-0.602169120977395,4260.40972950759,3420.3256018386,4996.64642990847,-0.0354442516273243
sCurve,1.35,14,2,2,0.00542270796178806,0.640339860632409,-0.0686643254624953,0.0415040475919743,0.0897951098302344,486.718975689829,-0.0435961580126963,879.138147546257,883.789913791211,4958.15137262896,-0.00594962111318384
sCurve,1.35,15,2.05,1,0.119333634150924,0.999987931863008,5.43467727186198,0.0275296622401245,-0.115682192398569,-902.615023034918,4.78607189614344,-23090.4530525261,-31.9594538507344,31.9594538507344,0.189844774211054
sCurve,1.35,15,2.05,2,0.119333634150924,0.999987931863008,-2.50914538051878,0.0275296622401245,-0.115682192398569,617.425824572944,-2.20968966293828,1254.44279104063,31.7132325053052,31.7132325053052,-0.00847295818819783
sCurve,1.35,16,2.1,1,0.825273209607422,0.999987978254168,9506.47703772751,-0.269617903851494,0.698121578209254,-3673.74692236982,1660.92193629217,-2012.82498607765,31.8979673584836,31.8979673584836,-0.758799405832936
sCurve,1.35,16,2.1,2,0.825273209607422,0.999987978254168,-51.8545507661648,-0.269617903851494,0.698121578209254,454.729783640852,-9.05975584039146,-1200.01424562149,-31.6522197159819,31.6522197159819,0.00806270376392053
sCurve,1.35,17,2.15,1,0.999965274613202,0.992234697592827,780576.893162408,-0.589541798468992,-0.609972697270612,-54.2126103747888,-6034.30979291655,-6088.52240329131,-809.123811944709,809.123811944709,0.566774613454671
sCurve,1.35,17,2.15,2,0.999965274613202,0.992234697592827,774563.189244219,-0.589541798468992,-0.609972697270612,-53.7949467335999,-5987.82039159926,-6041.61533833283,-571.470207244848,802.890177461271,0.00516269515711981
sCurve,1.35,18,2.2,1,0.989735702349637,0.999987998798401,45052.8705631515,-0.69812052288383,0.698122069128301,-929.667954020662,461.895384881188,-467.772569139473,31.8707002902859,31.8707002902859,-0.804988495664913
sCurve,1.35,18,2.2,2,0.989735702349637,0.999987998798401,42748.623778924,-0.69812052288383,0.698122069128301,-920.650200183001,438.271563758178,-360.989389211623,31.6251627181517,31.6251627181517,-0.030935245802198
sCurve,1.35,19,2.25,1,0.99998799515653,0.999987999973324,1327603.49462445,-0.698121113351389,0.698122087458238,-31.8755356166713,0.00639479249908234,-31.8691408240702,31.8691401826132,31.8691401826132,-0.77321134092146
sCurve,1.35,19,2.25,2,0.99998799515653,0.999987999973324,1317375.39998398,-0.698121113351389,0.698122087458238,-31.6299607923183,0.00634552587455808,-31.6236152662896,31.6236146298274,31.6236146298274,-0.0228443974530179
sCurve,1.35,20,2.3,1,-0.979289379444253,-0.999987998642024,31464.8298270776,0.236336177765355,0.698122086960346,1317.09393218073,-651.278530713362,665.815401467371,31.8709079268905,31.8709079268905,-0.738199933985257
sCurve,1.35,20,2.3,2,-0.979289379444253,-0.999987998642024,-31222.419153544,0.236336177765355,0.698122086960346,-1306.94680508799,646.260964492415,-660.685840595572,31.6253687550868,31.6253687550868,-0.0167309847973895
sCurve,1.35,21,2.35,1,-0.999987993761139,-0.999987999979604,-1327526.34247145,-0.698118395848333,-0.698122107793829,-31.8773880900054,0.00825517678793708,-31.8691329131834,-31.869131844036,31.869131844036,0.632117472113685
sCurve,1.35,21,2.35,2,-0.999987993761139,-0.999987999979604,-1317298.84222496,-0.698118395848333,-0.698122107793829,-31.6317989938667,0.00819157743029554,-31.6236074164044,31.6236063554922,31.6236063554922,-0.00998002190839348
sCurve,1.35,22,2.4,1,0.998080028573601,0.999987999453176,-104827.949106811,0.698119267625081,0.698122018646264,402.920503550449,-200.008674261383,202.911829289063,31.8698308644615,31.8698308644615,-0.721499429168297
sCurve,1.35,22,2.4,2,0.998080028573601,0.999987999453176,104020.335848205,0.698119267625081,0.698122018646264,-399.8163319664,198.467771682004,-201.348560284401,31.6242999905393,31.6242999905393,-0.00768701738228202
sCurve,1.35,23,2.45,1,-0.999987993597564,-0.999987999976878,-1327517.29918965,-0.698121155149733,-0.698122110054647,-31.8776052391766,0.00846865008893292,-31.8691365891136,-31.8691354638352,31.8691354638352,0.714209516706042
sCurve,1.35,23,2.45,2,-0.999987993597564,-0.999987999976878,-1317289.86861422,-0.698121155149733,-0.698122110054647,-31.6320144700819,0.00840340609482074,-31.6236110641621,31.6236099474037,31.6236099474037,-0.0134351660748311
sCurve,1.35,24,2.5,1,0.983589534401698,0.95247868338519,-35464.4385944527,0.619657493423887,0.698122107173616,1173.68593852794,1103.32886549614,2277.01480402408,1981.5403883994,1981.5403883994,-0.651982056189373
sCurve,1.35,24,2.5,2,0.983589534401698,0.95247868338519,35191.2142200189,0.619657493423887,0.698122107173616,-1164.64365225342,-1094.82862268905,-2259.47227494247,1932.57367310554,1966.27424703377,-0.0276378337065574
sCurve,1.35,25,2.55,1,0.999987985128526,0.999987999784166,-1327049.33834425,0.698119028661393,0.698122104426646,31.8888460516078,-0.0194487578533066,31.8693972937763,31.8693913591588,31.8693913591588,-0.618471134687747
sCurve,1.35,25,2.55,2,0.999987985128526,0.999987999784166,1316825.51302283,0.698119028661393,0.698122104426646,-31.6431686812847,0.019298921146211,-31.6238697601948,31.623863871264,31.623863871264,-0.0707220963837196
sCurve,1.35,26,2.6,1,-0.999284868811982,-0.999987999596757,-171919.309544113,-0.698117195242294,-0.698122104099731,-245.977704779291,120.881759037712,-125.095945741603,-31.8696402107865,31.8696402107865,0.780612628826697
sCurve,1.35,26,2.6,2,-0.999284868811982,-0.999987999596757,-170594.812451675,-0.698117195242294,-0.698122104099731,-244.082648571535,119.950464357674,-124.132184213842,31.6241108056943,31.6241108056943,-0.101358918028098
sCurve,1.35,27,2.65,1,0.930821038204501,0.283340369314188,-16568.1380770114,0.698119261500701,0.698122055868617,2377.51670456375,10727.5491243704,13105.0658289341,6238.68336873351,6238.68336873351,-0.615367495072925
sCurve,1.35,27,2.65,2,0.930821038204501,0.283340369314188,2162.39924056667,0.698119261500701,0.698122055868617,-1270.85774487077,-1400.11170669001,13981.6121524877,6190.61943685501,6190.61943685501,-0.14973970006213
sCurve,1.35,28,2.7,1,0.993845806084235,0.866553041232539,58365.0930705465,-0.697992274464861,0.69812207273402,-720.604415110686,-7429.4540677764,-8150.05848288709,3246.68424878641,3246.68424878641,-0.569453156592872
sCurve,1.35,28,2.7,2,0.993845806084235,0.866553041232539,-57915.4379603858,-0.697992274464861,0.69812207273402,715.052749883883,7372.21622557435,8087.26897545823,3221.67121296754,3221.67121296754,-0.10821790684769
sCurve,1.35,29,2.75,1,0.523953238500244,-0.999987968363211,-4001.72690119376,0.69811771660298,0.698122069056003,5540.84720225561,6098.39652334318,11639.2437255988,31.9110866953461,31.9110866953461,-0.645979019657696
sCurve,1.35,29,2.75,2,0.523953238500244,-0.999987968363211,-1200.21129450714,0.69811771660298,0.698122069056003,4089.55990245807,1829.05144864236,7623.65663592552,31.665237979128,31.665237979128,-0.0638318695401608
sCurve,1.35,30,2.8,1,0.999983961234669,0.97627206891658,-1148576.31735028,0.407382627815506,0.698122086652149,36.8437875033829,27234.9179561174,27271.7617436207,1408.70108259117,1408.70108259117,-0.627353651105071
sCurve,1.35,30,2.8,2,0.999983961234669,0.97627206891658,-1139727.48008582,0.407382627815506,0.698122086652149,36.5599363783869,27025.0952797624,27061.6552161407,1397.84819763628,1397.84819763628,-0.0349582913611131
sCurve,1.35,31,2.85,1,-0.983626158486313,-0.999987992301322,-35505.073093784,-0.698017178804177,-0.329418058520431,-1172.38634223956,580.928105550238,-591.45823668933,-31.8793259762961,31.8793259762961,0.607593399829291
sCurve,1.35,31,2.85,2,-0.983626158486313,-0.999987992301322,35231.5356639036,-0.698017178804177,-0.329418058520431,1163.35406828716,-576.45253158035,586.901536706813,-31.633721950335,31.633721950335,0.153936090079476
sCurve,1.35,32,2.9,1,0.999981052917198,0.999987999721517,1056752.29569847,-0.160911228574031,-0.326240240175536,-40.0451258674904,7.34105141187972,-32.7040744554251,-31.8694745477849,31.8694745477849,0.609138943683592
sCurve,1.35,32,2.9,2,0.999981052917198,0.999987999721517,-1048610.88711097,-0.160911228574031,-0.326240240175536,39.7366110594769,-7.28449463954126,32.452116419794,-31.6239464189901,31.6239464189901,0.141704429669118
sCurve,1.35,33,2.95,1,0.30425345846405,-0.503973048321262,-2077.75598910643,0.654592958077037,0.698121959968954,6196.86553360473,1679.29746502775,7876.16299863248,5618.73060489914,5618.73060489914,-0.468614028718708
sCurve,1.35,33,2.95,2,0.30425345846405,-0.503973048321262,-2061.74858555377,0.654592958077037,0.698121959968954,6149.12377380327,1666.35985717169,7815.48363097496,-5575.44289993386,5575.44289993386,0.115532859923958
sCurve,1.35,34,3,1,-0.281503561630516,-0.999987732143253,-1908.43433419962,-0.353157129491096,-0.225149880728589,-6242.20122327937,1371.17985958544,-4871.02136369393,-32.2228210715969,32.2228210715969,0.475323302530324
sCurve,1.35,34,3,2,-0.281503561630516,-0.999987732143253,1893.73141494373,-0.353157129491096,-0.225149880728589,6194.1101892206,-1360.61604483976,4833.49414438085,-31.9745706980196,31.9745706980196,0.170114742808897
sCurve,1.35,35,3.05,1,0.0397792728731613,0.072719220976711,-93.2752461370753,0.0419956429897467,0.12078379200471,5135.43206842419,-3.07248176710109,-1363.59637448371,-6372.85221227246,6488.05026573094,0.106196838381014
sCurve,1.35,35,3.05,2,0.0397792728731613,0.072719220976711,-231.602967931416,0.0419956429897467,0.12078379200471,6402.59226912947,-7.62898974428894,4700.60303821241,-6438.06516670199,6438.06516670199,0.223919151150614
sCurve,1.35,36,3.1,1,0.0425543566407467,-0.0830774823344322,-88.9260460059694,0.0562285416057944,0.02234286245418,4937.01322219215,11.1719426925213,-6828.51298423961,-6482.78514575722,6482.78514575722,0.194723464749856
sCurve,1.35,36,3.1,2,0.0425543566407467,-0.0830774823344322,-152.619413956666,0.0562285416057944,0.02234286245418,5808.34462629292,19.1738576386901,-4412.06639612925,-6432.84061015372,6432.84061015372,0.272565719521734
sCurve,1.35,37,3.15,1,0.0236260679506242,-0.0609715143773629,0.0463405987055556,0.0193095382753719,0.0548883442189843,-194.259494834662,-0.00392030261412145,-14234.9675176745,-6481.61816551362,6493.17026580464,0.126173442550903
sCurve,1.35,37,3.15,2,0.0236260679506242,-0.0609715143773629,-36.4516330432948,0.0193095382753719,0.0548883442189843,4405.47834151846,3.0837200273697,-14958.3349506182,-6443.14572137988,6443.14572137988,0.256235792211828
sCurve,1.35,38,3.2,1,0.0110818447190987,-0.0128187115064498,0.704631875417242,0.00449245122984163,0.00645560296364787,-1071.26057811996,-0.0168410937567235,-11737.7435270798,-6421.36490491996,6504.73879132671,0.11030546911603
sCurve,1.35,38,3.2,2,0.0110818447190987,-0.0128187115064498,-4.45885209797712,0.00449245122984163,0.00645560296364787,2519.34455930526,0.106569045269107,-16651.350852408,-6454.62512091339,6454.62512091339,0.172624652002289
sCurve,1.35,39,3.25,1,0.00610005469779935,0.00676488817982947,0.0335801790661394,0.00170918679029086,0.00416748014054819,-324.084985906528,2.23252273757362e-05,-6214.36905441173,-4934.81976327102,6505.12443004125,0.054511969518125
sCurve,1.35,39,3.25,2,0.00610005469779935,0.00676488817982947,-0.40387536383724,0.00170918679029086,0.00416748014054819,1087.93137487433,-0.000268509864446092,-9832.03491320924,-6226.26004483217,6455.00778859833,0.0819331313161975
sCurve,1.35,40,3.3,1,0.00576629510101574,0.0112175730347291,-0.00436582406991422,0.0022633859670856,0.0064066489128046,121.048441371511,-2.37993204147982e-05,-2380.00094181303,-2463.31946004994,6504.86397949493,0.0212087951823455
sCurve,1.35,40,3.3,2,0.00576629510101574,0.0112175730347291,-0.0512271715738517,0.0022633859670856,0.0064066489128046,408.834554705579,-0.000279253550007087,-3953.79110835786,-3712.06327214523,6454.74934460958,0.0303406230813774
sCurve,1.35,41,3.35,1,0.00712429022939928,0.0119686830558714,-0.0321108004705339,0.0036833089262544,0.00755298081689811,293.564504420913,-0.000155557331451731,-745.712673204354,-955.24812392837,6504.80732962043,0.00745578884731476
